epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
81,155.338,0.76073,0.76551,0.01395,0.75422,0.5096,0.5598,0.29811,2.04027,1.56035,0.01793,2.4752e-05,2.4752e-05,2.4752e-05
82,157.289,0.66125,0.41427,0.01167,0.76384,0.51667,0.5525,0.29684,2.02904,1.47522,0.01777,2.35739e-05,2.35739e-05,2.35739e-05
83,159.246,0.94247,0.87738,0.01358,0.76384,0.51667,0.5525,0.29684,2.02904,1.47522,0.01777,2.23958e-05,2.23958e-05,2.23958e-05
84,161.253,0.5615,0.4724,0.00882,0.76384,0.51667,0.5525,0.29684,2.02904,1.47522,0.01777,2.12177e-05,2.12177e-05,2.12177e-05
85,163.156,0.73604,0.64607,0.00836,0.77866,0.51633,0.55806,0.2967,2.03011,1.5303,0.01793,2.00396e-05,2.00396e-05,2.00396e-05
86,165.027,1.07927,1.35853,0.02054,0.77866,0.51633,0.55806,0.2967,2.03011,1.5303,0.01793,1.88615e-05,1.88615e-05,1.88615e-05
87,167.026,0.93298,0.80833,0.0107,0.77866,0.51633,0.55806,0.2967,2.03011,1.5303,0.01793,1.76834e-05,1.76834e-05,1.76834e-05
88,168.873,0.61618,0.51268,0.00975,0.78027,0.513,0.55806,0.28103,2.02131,1.50388,0.01791,1.65053e-05,1.65053e-05,1.65053e-05
89,170.784,0.9777,1.00827,0.01364,0.78027,0.513,0.55806,0.28103,2.02131,1.50388,0.01791,1.53272e-05,1.53272e-05,1.53272e-05
90,172.61,0.67729,0.66472,0.00671,0.78027,0.513,0.55806,0.28103,2.02131,1.50388,0.01791,1.41491e-05,1.41491e-05,1.41491e-05
91,174.641,0.55301,0.31572,0.00907,0.77379,0.5151,0.55806,0.29825,2.03289,1.49222,0.01803,1.2971e-05,1.2971e-05,1.2971e-05
92,176.489,0.46434,0.42187,0.00556,0.77379,0.5151,0.55806,0.29825,2.03289,1.49222,0.01803,1.17929e-05,1.17929e-05,1.17929e-05
93,178.401,0.89097,0.79002,0.01617,0.77379,0.5151,0.55806,0.29825,2.03289,1.49222,0.01803,1.06148e-05,1.06148e-05,1.06148e-05
94,180.282,0.63306,0.40674,0.00684,0.78118,0.50473,0.55806,0.3324,2.01262,1.46777,0.01747,9.4367e-06,9.4367e-06,9.4367e-06
95,182.147,1.08359,0.81638,0.02066,0.78118,0.50473,0.55806,0.3324,2.01262,1.46777,0.01747,8.2586e-06,8.2586e-06,8.2586e-06
96,183.992,0.65893,0.44657,0.01049,0.78118,0.50473,0.55806,0.3324,2.01262,1.46777,0.01747,7.0805e-06,7.0805e-06,7.0805e-06
97,186.009,0.52026,0.33915,0.00558,0.78035,0.50241,0.64097,0.39813,2.00165,1.48068,0.01734,5.9024e-06,5.9024e-06,5.9024e-06
98,187.921,0.70326,0.4903,0.01203,0.78035,0.50241,0.64097,0.39813,2.00165,1.48068,0.01734,4.7243e-06,4.7243e-06,4.7243e-06
99,189.992,0.52367,0.45975,0.00605,0.78035,0.50241,0.64097,0.39813,2.00165,1.48068,0.01734,3.5462e-06,3.5462e-06,3.5462e-06
100,191.963,0.62749,0.61236,0.00676,0.77866,0.48307,0.64271,0.40245,2.00022,1.46258,0.01708,2.3681e-06,2.3681e-06,2.3681e-06
